ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
1, 162, (-39.6;-85.4;1.4),["None": 0.91],["Occipital_Mid_L": 0.81]["Occipital_Inf_L": 0.19],["Left Middle Occipital Gyrus": 0.70]["Left Inferior Occipital Gyrus": 0.22],["Left Middle Occipital Gyrus": 0.69]["Left Inferior Occipital Gyrus": 0.31],["Left Lateral Occipital Cortex; inferior division": 0.87]
2, 269, (-49.7;-60.8;23.2),["None": 0.94],["Angular_L": 0.49]["Temporal_Mid_L": 0.45],["Left Middle Temporal Gyrus": 0.69]["Left Angular Gyrus": 0.22],["Left Middle Temporal Gyrus": 0.57]["Left Superior Temporal Gyrus": 0.32],["Left Angular Gyrus": 0.46]["Left Lateral Occipital Cortex; superior division": 0.39]
3, 284, (13.3;-64.4;24.0),["None": 0.93],["Precuneus_R": 0.47]["Cuneus_R": 0.31]["Calcarine_R": 0.22],["Right Calcarine Gyrus": 0.38]["Right Precuneus": 0.32]["Right Cuneus": 0.24],["Right Precuneus": 0.56]["Right Posterior Cingulate": 0.27]["Right Cuneus": 0.13],["Right Precuneous Cortex": 0.65]["Right Cuneal Cortex": 0.18]
4, 243, (-36.6;-13.9;-2.3),["None": 0.92],["Temporal_Sup_L": 0.33]["Putamen_L": 0.28]["Insula_L": 0.25],["Left Superior Temporal Gyrus": 0.39]["Left Insula Lobe": 0.23]["Left Putamen": 0.20],["Left Insula": 0.29]["Left Lentiform Nucleus": 0.23]["Left Superior Temporal Gyrus": 0.13]["Left Claustrum": 0.12]["None": 0.11],["Left Putamen": 0.33]["Left Insular Cortex": 0.30]["Left Planum Polare": 0.21]["Left Heschl's Gyrus (includes H1 and H2)": 0.11]
5, 222, (-6.8;45.7;7.8),["None": 0.86],["Cingulum_Ant_L": 0.66]["Frontal_Sup_Medial_L": 0.28],["Left Anterior Cingulate Cortex": 0.59]["Left Superior Medial Gyrus": 0.22]["Left Mid Orbital Gyrus": 0.18],["Left Medial Frontal Gyrus": 0.59]["Left Anterior Cingulate": 0.41],["Left Paracingulate Gyrus": 0.62]["Left Cingulate Gyrus; anterior division": 0.20]
6, 267, (9.1;-35.9;47.1),["None": 0.93],["Cingulum_Mid_R": 0.60]["Precuneus_R": 0.21],["Right Middle Cingulate Cortex": 0.55]["Right Precuneus": 0.33],["Right Paracentral Lobule": 0.40]["Right Cingulate Gyrus": 0.34]["Right Precuneus": 0.25],["Right Cingulate Gyrus; posterior division": 0.39]["Right Precuneous Cortex": 0.36]["Right Precentral Gyrus": 0.19]
7, 247, (55.2;-47.5;41.9),["None": 0.90],["Parietal_Inf_R": 0.41]["SupraMarginal_R": 0.41]["Angular_R": 0.18],["Right SupraMarginal Gyrus": 0.38]["Right Inferior Parietal Lobule ": 0.34]["Right Angular Gyrus": 0.28],["Right Inferior Parietal Lobule": 0.55]["Right Supramarginal Gyrus": 0.40],["Right Angular Gyrus": 0.55]["Right Supramarginal Gyrus; posterior division": 0.45]
8, 235, (-40.7;-21.3;54.3),["None": 0.73],["Postcentral_L": 0.69]["Precentral_L": 0.30],["Left Postcentral Gyrus": 0.75]["Left Precentral Gyrus": 0.21],["Left Postcentral Gyrus": 0.57]["Left Precentral Gyrus": 0.43],["Left Postcentral Gyrus": 0.57]["Left Precentral Gyrus": 0.43]
9, 235, (-19.3;-62.1;-26.1),["None": 0.79],["Cerebelum_6_L": 0.75]["Cerebelum_Crus1_L": 0.14],["Left Cerebellum": 0.63]["Left Cerebellum": 0.24]["Left Cerebellum": 0.11],["Left Uvula": 0.21]["Left Cerebellar Tonsil": 0.19]["Left Culmen": 0.17]["Left Pyramis": 0.12]["Left Inferior Semi-Lunar Lobule": 0.11],["None": 1.00]
10, 204, (43.3;-55.2;-32.2),["None": 0.98],["Cerebelum_Crus1_R": 0.77]["Cerebelum_6_R": 0.11],["Right Cerebellum": 0.63]["Right Cerebellum": 0.26],["Right Cerebellar Tonsil": 0.63]["Right Tuber": 0.17],["None": 0.91]
11, 287, (-58.9;-30.2;-2.4),["None": 0.97],["Temporal_Mid_L": 0.96],["Left Middle Temporal Gyrus": 0.99],["Left Middle Temporal Gyrus": 0.84]["Left Superior Temporal Gyrus": 0.15],["Left Middle Temporal Gyrus; posterior division": 0.53]["Left Superior Temporal Gyrus; posterior division": 0.45]
12, 154, (27.7;58.2;-1.6),["None": 1.00],["Frontal_Sup_R": 0.29]["Frontal_Mid_Orb_R": 0.29]["Frontal_Mid_R": 0.23]["Frontal_Sup_Orb_R": 0.19],["Right Middle Orbital Gyrus": 0.44]["Right Superior Orbital Gyrus": 0.34]["Right Superior Frontal Gyrus": 0.13],["Right Superior Frontal Gyrus": 0.74]["Right Middle Frontal Gyrus": 0.23],["Right Frontal Pole": 1.00]
